T	T_Z	T_Z	T_U	T_M	PWM
01:13:03	81.67023	81.98914	25.3975	83.69751	0.02
01:13:04	81.66653	81.98914	25.42497	83.70972	0.02
01:13:04	81.66653	81.98914	25.40666	83.69141	0.02
01:13:05	81.66653	81.99884	25.42497	83.6792	0.02
01:13:05	81.66653	81.99884	25.40971	83.6731	0.02
01:13:06	81.67096	81.99884	25.41887	83.65479	0.02
01:13:06	81.67096	81.99884	25.42192	83.63647	0.02
01:13:07	81.67096	81.98166	25.43718	83.66699	0.02
01:13:07	81.67096	81.98166	25.44938	83.65479	0.02
01:13:08	81.67538	81.98166	25.40971	83.63037	0.02
01:13:08	81.67538	81.98166	25.42802	83.61816	0.02
01:13:09	81.67538	81.97794	25.3853	83.61206	0.02
01:13:09	81.67615	81.97794	25.39445	83.61816	0.02
01:13:10	81.67615	81.97794	25.44023	83.61816	0.02
01:13:10	81.67615	81.97794	25.3853	83.57544	0.02
01:13:11	81.67615	81.97946	25.3975	83.56934	0.02
01:13:11	81.67392	81.97946	25.40055	83.59375	0.02
01:13:12	81.67392	81.97946	25.3914	83.59375	0.02
01:13:12	81.67392	81.98019	25.42802	83.56323	0.02
01:13:13	81.67392	81.98019	25.35783	83.54492	0.02
01:13:13	81.67172	81.98019	25.40055	83.53271	0.02
01:13:14	81.67172	81.98019	25.40055	83.52661	0.02
01:13:14	81.67172	81.98169	25.3914	83.53271	0.02
01:13:15	81.67172	81.98169	25.37309	83.53271	0.02
01:13:15	81.67245	81.98169	25.3975	83.52661	0.02
01:13:16	81.67245	81.98169	25.40971	83.5022	0.02
01:13:16	81.67245	81.9772	25.3853	83.5144	0.02
01:13:17	81.67542	81.9772	25.37309	83.54492	0.02
01:13:17	81.67542	81.9772	25.36699	83.53271	0.02
01:13:18	81.67542	81.98691	25.41887	83.55103	0.02
01:13:18	81.67542	81.98691	25.33952	83.55103	0.02
01:13:19	81.67319	81.98691	25.37309	83.60596	0.02
01:13:19	81.67319	81.98691	25.33952	83.60596	0.02
01:13:20	81.67319	81.98691	25.3853	83.64868	0.02
01:13:20	81.67319	81.97797	25.33647	83.63647	0.02
01:13:21	81.67245	81.97797	25.3914	83.6731	0.02
01:13:21	81.67245	81.97797	25.38835	83.6792	0.02
01:13:22	81.67245	81.97647	25.41582	83.69141	0.02
01:13:22	81.67838	81.97647	25.37614	83.6792	0.02
01:13:23	81.67838	81.97647	25.39445	83.6731	0.02
01:13:23	81.67838	81.97647	25.33952	83.70972	0.02
01:13:24	81.67838	81.98618	25.36088	83.69751	0.02
01:13:24	81.67691	81.98618	25.34867	83.69751	0.02
01:13:25	81.67691	81.98618	25.40971	83.72192	0.02
01:13:26	81.67691	81.98618	25.43413	83.70972	0.02
01:13:26	81.67691	81.98541	25.37309	83.70972	0.02
01:13:27	81.67319	81.98541	25.36088	83.73413	0.02
01:13:27	81.67319	81.98541	25.36088	83.72192	0.02
01:13:28	81.67319	81.97571	25.35783	83.73413	0.02
01:13:28	81.67319	81.97571	25.36699	83.72192	0.02
01:13:29	81.67691	81.97571	25.40666	83.72192	0.02
01:13:29	81.67691	81.97571	25.3914	83.73413	0.02
01:13:30	81.67691	81.97571	25.37614	83.71582	0.02
01:13:30	81.6806	81.97571	25.40666	83.71582	0.02
01:13:31	81.6806	81.97498	25.3853	83.6792	0.02
01:13:31	81.6806	81.97498	25.42192	83.69141	0.02
01:13:32	81.6806	81.97498	25.41887	83.69751	0.02
01:13:32	81.67099	81.97498	25.43718	83.6731	0.02
01:13:33	81.67099	81.9899	25.44328	83.69751	0.02
